Student_ID,Study_Hours_Per_Week,Attendance_Percent,Quiz_Avg_Score,Sleep_Hours_Per_Night,Social_Media_Hours_Per_Day,Previous_GPA,Extracurricular_Activities,Parent_Education_Level,Current_GPA,Final_Score,Pass_Fail,Grade,Risk_Level,Parent_Education_Level_Encoded,Pass_Fail_Encoded,Grade_Encoded,Risk_Level_Encoded,Study_Efficiency,Sleep_Study_Ratio,Social_Media_Risk,Attendance_Study_Product,Study_Hours_Per_Week_scaled,Attendance_Percent_scaled,Quiz_Avg_Score_scaled,Sleep_Hours_Per_Night_scaled,Social_Media_Hours_Per_Day_scaled,Previous_GPA_scaled,Extracurricular_Activities_scaled,Parent_Education_Level_Encoded_scaled,Study_Efficiency_scaled,Sleep_Study_Ratio_scaled,Social_Media_Risk_scaled,Attendance_Study_Product_scaled,Current_GPA_scaled,Final_Score_scaled,Feature_Set,Cluster,PCA1,PCA2
S1001,25.0,93.9,93.0,8.2,1.6,1.6,1,PhD,2.78,58.5,Pass,D,Medium Risk,3,1,2,2,3.58,2.23,0.1,23.48,0.5140138063419825,1.0545195311075006,1.3593129338314445,0.7911983049385668,-0.4913401213779053,-1.618362480763142,0.8509629433967631,2.1351072918515213,-0.1804945958810638,-0.239267282837109,-0.642615588157121,0.9361150620402068,1.462068692432368,0.9418932501134788,"[np.float64(0.5140138063419825), np.float64(1.0545195311075006), np.float64(1.3593129338314445), np.float64(0.7911983049385668), np.float64(-0.4913401213779053), np.float64(-1.618362480763142), np.float64(0.8509629433967631), np.float64(2.1351072918515213), np.float64(-0.18049459588106387), np.float64(-0.239267282837109), np.float64(-0.642615588157121), np.float64(0.9361150620402067), np.float64(1.462068692432368), np.float64(0.9418932501134787)]",0,2.0122651238508444,-1.7403216862624005
S1002,18.6,100.0,83.5,6.2,0.2,2.28,1,Bachelor,2.22,59.6,Pass,D,Medium Risk,1,1,2,2,4.26,2.25,0.0,18.6,-0.1548191547113131,1.5106508515345007,0.8671198573124322,-0.584798747128506,-1.0319532697031704,-0.6901831962257311,0.8509629433967631,-0.0774391245749257,-0.1151481411153665,-0.2368396521265052,-0.7782514504048142,0.3305302020867357,0.0750477407770648,1.037905053724275,"[np.float64(-0.15481915471131316), np.float64(1.5106508515345007), np.float64(0.8671198573124322), np.float64(-0.584798747128506), np.float64(-1.0319532697031704), np.float64(-0.6901831962257311), np.float64(0.8509629433967631), np.float64(-0.07743912457492572), np.float64(-0.11514814111536652), np.float64(-0.2368396521265052), np.float64(-0.7782514504048142), np.float64(0.3305302020867357), np.float64(0.07504774077706486), np.float64(1.0379050537242753)]",0,1.0043128994135937,-1.7394486334179793
S1003,26.5,59.0,66.2,5.8,1.3,2.73,1,Bachelor,2.84,66.6,Pass,C,Low Risk,1,1,1,1,2.41,1.49,0.53,15.64,0.6707715315888486,-1.5551498267453383,-0.0291896399274531,-0.8599981575419209,-0.6071857960190336,-0.075946904987738,0.8509629433967631,-0.0774391245749257,-0.2929289371691019,-0.3290896191294489,-0.05938138049204,-0.0367917621473369,1.610678080109722,1.648889258520252,"[np.float64(0.6707715315888486), np.float64(-1.5551498267453383), np.float64(-0.029189639927453187), np.float64(-0.8599981575419209), np.float64(-0.6071857960190336), np.float64(-0.07594690498773808), np.float64(0.8509629433967631), np.float64(-0.07743912457492572), np.float64(-0.29292893716910196), np.float64(-0.32908961912944895), np.float64(-0.05938138049204001), np.float64(-0.03679176214733698), np.float64(1.610678080109722), np.float64(1.6488892585202521)]",0,1.4609710839604304,-0.091314200951298
S1004,35.2,88.4,52.1,7.0,0.4,1.64,1,High School,2.48,51.1,Pass,D,Medium Risk,0,1,2,2,1.44,1.36,0.05,31.12,1.579966338020673,0.6432535864602053,-0.7597077850767242,-0.0343999263016767,-0.9547228199424184,-1.563763699319765,0.8509629433967631,-1.1837123327881494,-0.3861437329378174,-0.3448692187483735,-0.7104335192809677,1.8842028345903128,0.7190217540455983,0.2959956621863025,"[np.float64(1.579966338020673), np.float64(0.6432535864602053), np.float64(-0.7597077850767242), np.float64(-0.034399926301676716), np.float64(-0.9547228199424184), np.float64(-1.563763699319765), np.float64(0.8509629433967631), np.float64(-1.1837123327881494), np.float64(-0.3861437329378174), np.float64(-0.3448692187483735), np.float64(-0.7104335192809677), np.float64(1.8842028345903132), np.float64(0.7190217540455983), np.float64(0.2959956621863025)]",0,2.5272672093945565,-0.480124416171064
S1005,17.7,70.2,79.0,6.7,5.0,2.06,0,Bachelor,2.43,43.0,Fail,F,Medium Risk,1,0,3,2,4.22,2.55,1.49,12.43,-0.2488737898594331,-0.7176628121908454,0.6339757684350054,-0.2407994841117376,0.8215775245548813,-0.9904764941643048,-1.1751393027860062,-0.0774391245749257,-0.118992050219231,-0.2004251914674484,1.242722897085815,-0.4351375409282064,0.5951805976478038,-0.4110003462204716,"[np.float64(-0.2488737898594331), np.float64(-0.7176628121908454), np.float64(0.6339757684350054), np.float64(-0.2407994841117376), np.float64(0.8215775245548813), np.float64(-0.9904764941643049), np.float64(-1.1751393027860062), np.float64(-0.07743912457492572), np.float64(-0.11899205021923107), np.float64(-0.20042519146744847), np.float64(1.242722897085815), np.float64(-0.4351375409282064), np.float64(0.5951805976478038), np.float64(-0.4110003462204716)]",0,-0.456187487894252,0.9577381404668396
S1006,17.7,72.7,72.9,6.3,8.9,2.0,0,Bachelor,1.91,41.9,Fail,F,Medium Risk,1,0,3,2,3.9,2.4,2.43,12.87,-0.2488737898594331,-0.5307237464420748,0.3179360035122714,-0.5159988945251526,2.327571294889548,-1.0723746663293707,-1.1751393027860062,-0.0774391245749257,-0.1497433230501474,-0.2186324217969768,2.517700002214132,-0.3805356273258443,-0.6927674288892649,-0.5070121498312682,"[np.float64(-0.2488737898594331), np.float64(-0.5307237464420748), np.float64(0.3179360035122714), np.float64(-0.5159988945251526), np.float64(2.327571294889548), np.float64(-1.0723746663293707), np.float64(-1.1751393027860062), np.float64(-0.07743912457492572), np.float64(-0.14974332305014745), np.float64(-0.21863242179697684), np.float64(2.517700002214132), np.float64(-0.3805356273258443), np.float64(-0.6927674288892649), np.float64(-0.5070121498312682)]",0,-1.1725471507830738,2.4463646343926113
S1007,35.8,71.1,82.9,8.0,0.2,2.97,1,Bachelor,2.81,65.5,Pass,C,Low Risk,1,1,1,1,2.25,1.53,0.06,25.45,1.6426694281194187,-0.6503647485212887,0.8360339787954423,0.65359859973186,-1.0319532697031704,0.251645783672525,0.8509629433967631,-0.0774391245749257,-0.3083045735845602,-0.3242343577082414,-0.6968699330561983,1.1805827206689643,1.5363733862710456,1.5528774549094562,"[np.float64(1.6426694281194187), np.float64(-0.6503647485212887), np.float64(0.8360339787954423), np.float64(0.65359859973186), np.float64(-1.0319532697031704), np.float64(0.251645783672525), np.float64(0.8509629433967631), np.float64(-0.07743912457492572), np.float64(-0.3083045735845602), np.float64(-0.3242343577082414), np.float64(-0.6968699330561983), np.float64(1.1805827206689643), np.float64(1.5363733862710456), np.float64(1.5528774549094562)]",0,2.8384440878191697,-0.9879969532323383
S1008,27.7,67.0,77.7,8.4,9.15,2.86,1,Bachelor,2.54,51.9,Pass,D,Medium Risk,1,1,2,2,2.71,2.07,3.02,18.56,0.7961777117863416,-0.956944816349272,0.5666230316481933,0.928798010145275,2.424109357090489,0.1014991347032374,0.8509629433967631,-0.0774391245749257,-0.2640996188901178,-0.2586883285219393,3.317951589475522,0.3255663917592479,0.8676311417229525,0.3658224284486997,"[np.float64(0.7961777117863416), np.float64(-0.9569448163492721), np.float64(0.5666230316481933), np.float64(0.928798010145275), np.float64(2.424109357090489), np.float64(0.10149913470323746), np.float64(0.8509629433967631), np.float64(-0.07743912457492572), np.float64(-0.26409961889011785), np.float64(-0.2586883285219393), np.float64(3.317951589475522), np.float64(0.32556639175924795), np.float64(0.8676311417229525), np.float64(0.3658224284486997)]",0,0.5470086306742792,2.4979565068348744
S1009,15.3,80.7,86.0,7.1,2.2,2.22,1,High School,2.6,61.3,Pass,D,Low Risk,0,1,2,1,5.28,3.11,0.42,12.35,-0.4996861502544188,0.0674812639539913,0.996644351133225,0.0343999263016767,-0.2596487720956488,-0.7720813683907962,0.8509629433967631,-1.1837123327881494,-0.0171284589668204,-0.1324515315705425,-0.2085808289645026,-0.4450651615831813,1.0162405294003067,1.1862869320318694,"[np.float64(-0.49968615025441887), np.float64(0.06748126395399137), np.float64(0.996644351133225), np.float64(0.034399926301676716), np.float64(-0.2596487720956488), np.float64(-0.7720813683907962), np.float64(0.8509629433967631), np.float64(-1.1837123327881494), np.float64(-0.017128458966820415), np.float64(-0.13245153157054254), np.float64(-0.20858082896450264), np.float64(-0.4450651615831813), np.float64(1.0162405294003067), np.float64(1.1862869320318694)]",0,0.5623242114993648,-1.1877798015123646
S1010,25.4,67.5,54.3,9.2,1.1,2.94,0,High School,2.52,29.4,Fail,F,High Risk,0,0,3,0,2.06,2.47,0.36,17.14,0.5558158664078133,-0.919557003199518,-0.6457262305144268,1.4791968309721035,-0.6844162457797857,0.2106966975899918,-1.1751393027860062,-1.1837123327881494,-0.3265631418279168,-0.2101357143098635,-0.2899623463131185,0.149351125133443,0.8180946791638345,-1.598055372681228,"[np.float64(0.5558158664078133), np.float64(-0.9195570031995179), np.float64(-0.6457262305144268), np.float64(1.4791968309721035), np.float64(-0.6844162457797857), np.float64(0.21069669758999182), np.float64(-1.1751393027860062), np.float64(-1.1837123327881494), np.float64(-0.3265631418279168), np.float64(-0.21013571430986358), np.float64(-0.28996234631311857), np.float64(0.14935112513344306), np.float64(0.8180946791638345), np.float64(-1.598055372681228)]",0,0.30116850415373025,0.6185918167729755
