Student_ID,Study_Hours_Per_Week,Attendance_Percent,Quiz_Avg_Score,Sleep_Hours_Per_Night,Social_Media_Hours_Per_Day,Previous_GPA,Extracurricular_Activities,Parent_Education_Level,Current_GPA,Final_Score,Pass_Fail,Grade,Risk_Level
S1001,25.0,93.9,93.0,8.2,1.6,1.6,1,PhD,2.78,58.5,Pass,D,Medium Risk
S1002,18.6,100.0,83.5,6.2,0.2,2.28,1,Bachelor,2.22,59.6,Pass,D,Medium Risk
S1003,26.5,59.0,66.2,5.8,1.3,2.73,1,Bachelor,2.84,66.6,Pass,C,Low Risk
S1004,35.2,88.4,52.1,7.0,0.4,1.64,1,High School,2.48,51.1,Pass,D,Medium Risk
S1005,17.7,70.2,79.0,6.7,5.0,2.06,0,Bachelor,2.43,43.0,Fail,F,Medium Risk
S1006,17.7,72.7,72.9,6.3,8.9,2.0,0,Bachelor,1.91,41.9,Fail,F,Medium Risk
S1007,35.8,71.1,82.9,8.0,0.2,2.97,1,Bachelor,2.81,65.5,Pass,C,Low Risk
S1008,27.7,67.0,77.7,8.4,9.3,2.86,1,Bachelor,2.54,51.9,Pass,D,Medium Risk
S1009,15.3,80.7,86.0,7.1,2.2,2.22,1,High School,2.6,61.3,Pass,D,Low Risk
S1010,25.4,67.5,54.3,9.2,1.1,2.94,0,High School,2.52,29.4,Fail,F,High Risk
S1011,15.4,84.1,91.3,5.3,0.2,2.36,0,Bachelor,2.55,33.8,Fail,F,High Risk
S1012,15.3,79.2,69.0,6.7,2.1,2.58,1,High School,2.01,42.2,Fail,F,Medium Risk
S1013,22.4,76.4,100.0,5.9,4.7,4.0,0,High School,2.37,63.9,Pass,D,Low Risk
S1014,0.9,66.4,51.2,4.2,3.7,3.87,0,PhD,1.67,15.1,Fail,F,High Risk
S1015,2.8,71.3,99.7,6.9,0.2,1.76,1,Bachelor,2.25,22.4,Fail,F,High Risk
S1016,14.4,91.3,69.0,6.8,0.2,3.46,0,Bachelor,2.26,54.0,Pass,D,Medium Risk
S1017,9.9,87.5,52.0,9.3,1.5,3.45,1,Master,2.44,45.0,Fail,F,Medium Risk
S1018,23.1,65.3,55.3,7.9,1.0,1.88,0,PhD,2.43,37.6,Fail,F,High Risk
S1019,10.9,81.5,58.6,5.5,0.8,3.46,0,Bachelor,1.75,33.5,Fail,F,High Risk
S1020,5.9,91.3,73.5,9.8,1.0,4.0,0,Master,2.08,39.8,Fail,F,High Risk
S1021,34.7,55.0,75.5,8.8,4.9,1.9,1,Bachelor,2.22,55.1,Pass,D,Medium Risk
S1022,17.7,88.2,53.5,7.9,7.9,2.07,0,Bachelor,2.12,37.6,Fail,F,High Risk
S1023,20.7,70.1,64.5,6.7,1.6,3.61,1,Bachelor,2.04,50.7,Pass,D,Medium Risk
S1024,5.8,88.6,100.0,5.6,7.1,3.02,0,Bachelor,2.6,23.2,Fail,F,High Risk
S1025,14.6,68.6,99.6,6.4,1.2,3.24,1,Bachelor,2.42,44.8,Fail,F,Medium Risk
S1026,21.1,52.9,73.7,8.6,1.9,3.07,0,Bachelor,2.12,38.2,Fail,F,High Risk
S1027,8.5,55.6,65.8,9.8,0.8,3.11,1,High School,1.45,38.1,Fail,F,High Risk
S1028,23.8,80.7,67.4,9.3,3.1,1.74,1,Bachelor,1.87,48.3,Fail,F,Medium Risk
S1029,14.0,83.9,77.3,6.3,11.6,3.64,1,High School,2.24,48.2,Fail,F,Medium Risk
S1030,17.1,66.4,44.5,5.3,2.8,3.74,0,Bachelor,1.24,22.1,Fail,F,High Risk
S1031,14.0,89.6,59.9,7.2,1.3,2.62,0,Bachelor,2.44,46.6,Fail,F,Medium Risk
S1032,38.5,55.1,31.6,4.3,3.1,2.77,0,Master,1.91,47.4,Fail,F,Medium Risk
S1033,19.9,79.0,73.0,7.5,0.4,1.58,1,Master,3.15,66.5,Pass,C,Low Risk
S1034,9.4,61.8,77.9,6.8,6.6,3.21,1,Master,2.58,34.7,Fail,F,High Risk
S1035,28.2,70.2,55.3,6.3,2.1,3.26,1,Bachelor,2.16,50.8,Pass,D,Medium Risk
S1036,7.8,80.7,96.5,4.6,1.8,2.75,0,Master,2.11,33.0,Fail,F,High Risk
S1037,22.1,67.1,40.5,7.8,2.6,3.7,0,Bachelor,2.33,22.1,Fail,F,High Risk
S1038,0.4,74.2,35.7,6.2,2.9,2.53,0,High School,1.97,34.0,Fail,F,High Risk
S1039,6.7,95.1,69.5,5.2,0.2,3.25,1,High School,1.65,44.5,Fail,F,Medium Risk
S1040,22.0,71.3,85.9,3.0,3.4,1.98,1,High School,1.56,58.2,Pass,D,Medium Risk
S1041,27.4,92.5,98.7,7.0,0.8,2.78,1,Bachelor,2.58,53.5,Pass,D,Medium Risk
S1042,21.7,63.1,55.8,9.7,3.8,2.66,0,Bachelor,2.22,48.9,Fail,F,Medium Risk
S1043,18.8,87.9,86.6,9.5,5.2,2.98,1,Master,2.64,69.6,Pass,C,Low Risk
S1044,17.0,100.0,64.2,6.3,4.9,2.5,1,High School,2.57,51.3,Pass,D,Medium Risk
S1045,5.2,42.9,61.5,6.1,2.4,2.69,0,High School,1.11,32.7,Fail,F,High Risk
S1046,12.8,68.0,82.7,7.7,2.2,3.46,1,PhD,1.48,46.8,Fail,F,Medium Risk
S1047,15.4,88.7,78.0,5.5,0.5,2.45,1,High School,2.5,37.9,Fail,F,High Risk
S1048,30.6,77.0,33.5,7.5,4.5,1.51,1,Bachelor,1.74,55.7,Pass,D,Medium Risk
S1049,23.4,85.6,94.5,8.1,0.9,4.0,1,Bachelor,2.13,55.7,Pass,D,Medium Risk
S1050,2.4,70.9,92.6,8.8,2.1,3.91,0,Bachelor,2.2,48.7,Fail,F,Medium Risk
S1051,23.2,81.3,52.5,6.8,1.0,1.77,0,High School,2.33,35.4,Fail,F,High Risk
S1052,16.1,77.7,72.9,6.7,0.4,3.35,1,High School,2.2,39.0,Fail,F,High Risk
S1053,13.2,97.5,74.9,5.7,3.0,2.4,0,High School,2.09,60.2,Pass,D,Low Risk
S1054,26.1,83.8,70.2,5.8,0.2,3.01,1,Bachelor,2.37,51.5,Pass,D,Medium Risk
S1055,30.3,85.1,54.0,6.7,4.1,3.04,1,Bachelor,2.25,62.7,Pass,D,Low Risk
S1056,29.3,73.8,51.6,7.6,1.1,2.61,1,High School,1.83,49.7,Fail,F,Medium Risk
S1057,11.6,72.7,64.5,8.4,0.0,2.17,1,Bachelor,1.76,29.7,Fail,F,High Risk
S1058,16.9,73.5,88.5,5.8,2.1,2.25,0,Master,2.33,57.3,Pass,D,Medium Risk
S1059,23.3,85.9,75.9,9.2,0.1,2.07,0,High School,2.54,52.6,Pass,D,Medium Risk
S1060,29.8,73.7,57.6,6.6,1.0,2.13,0,Bachelor,2.26,56.9,Pass,D,Medium Risk
S1061,15.2,84.3,80.4,7.0,3.7,2.75,1,Bachelor,1.95,49.4,Fail,F,Medium Risk
